recipe_id,ingredient_full
133,"['세발나물 1봉지', '무 1/2개', '고추장 1T', '고추가루 2T', '올리고당 2T', '설탕 1T', '식초 3T', '소금 1/3T', '참기름 1T', '통깨 1T', '다진마늘 0.5T']"
134,"['오이 1개', '달래 1팩', '간장 2큰술', '소금 3꼬집', '고춧가루 2큰술', '다진마늘 1큰술', '참기름 2큰술', '매실청 2큰술', '통깨 솔솔']"
135,"['깻잎 40장', '양파 1/4개', '대파 2T', '양조간장 진간장2.5T 3T', '고춧가루 1T', '마늘 1T', '액젓 1T', '설탕 1T', '물 2T', '참기름 1T']"
136,"['숙주나물 410g', '대파 10cm', '당근 1cm', '다진마늘 1T', '참기름 1.5T', '맛소금 1/2T', '깨소금 적당량']"
137,"['크래미 10개', '계란 3개', '팽이버섯 1묶음', '통조림옥수수 4스푼']"
138,"['두부 1모', '양파 1/4개', '간장 3T', '설탕 혹은 올리고당 2T', '고추가루 3T', '새우젓 1/2T', '참기름 1/2T', '깨소금 1/2T', '다진대파 1T', '다진마늘 1/2T', '물 1/2컵']"
139,"['알래스칸 사각어묵 1봉지', '파프리카 조금', '맛살 3줄', '맛간장 2.5큰술', '올리고당 2', '후추 톡톡', '카놀라유 적당량']"
140,"['콩나물 300g', '당근 적당량', '맛살 2개', '대파 또는 쪽파 적당량', '참기름 1T', '들기름 1T', '다진마늘 1t', '국간장 조금', '소금 1t', '통깨 ', '갈은깨 ']"
141,"['애호박 1개', '깻잎 1묶음', '당근 조금', '작은양파 1개', '계란 3개', '부침가루 4큰술', '올리브유 ']"
142,"['가지 2개', '진간장 3큰술', '고춧가루 1큰술', '설탕 0.5큰술', '다진 마늘 0.5큰술', '매실청 0.5큰술', '참기름 0.5큰술', '다진 파 1큰술', '통깨 0.5큰술']"
143,"['오이 또는 백오이 2개', '다진양파 1개', '다진마늘 2테이블스푼', '간장 1T', '설탕 2t', '식초 2t', '레드페퍼 or땡초 조금', '참기름 1t']"
144,"['오이 1개', '양파 1/2개', '대파 1/2대', '고춧가루 2T', '설탕 2T', '간장 1T', '식초 5T', '소금 0.5T']"
145,"['오이 2개', '소금 1스푼', '다진마늘 1스푼', '참기름 1스푼', '통깨 약간']"
146,"['사각어묵 4장', '양파 1/2개', '파 조금', '다진마늘 1/2큰술', '설탕 1/2큰술', '맛간장 시판용가능 2큰술', '통깨 1작은술', '참기름 1/2작은술', '식용유 2큰술', '생수 2큰술']"
147,"['가지 4개', '다진돼지고기 400g', '진간장 4큰술', '맛술 2큰술', '매실액 2큰술', '다진마늘 1/3작은술', '육수 3큰술', '후추가루 톡톡', '들기름 적당량', '통깨 약간']"
148,"['달걀 2개', '물 200ml', '소금 1작은술', '맛술 1작은술']"
